r,t,y,AnnualizedInvestmentCost
RE1,PHL_HOU_COOK_COAL,2028,2467.697811850186
RE1,PHL_HOU_COOK_COAL,2029,2500.129167460759
RE1,PHL_HOU_COOK_COAL,2030,2532.247557443898
RE1,PHL_HOU_COOK_COAL,2031,2561.845422147692
RE1,PHL_HOU_COOK_COAL,2032,2584.1200893593636
RE1,PHL_HOU_COOK_COAL,2033,2613.7795672499474
RE1,PHL_HOU_COOK_COAL,2034,2642.8012133192783
RE1,PHL_HOU_COOK_COAL,2035,2752.3885101726582
RE1,PHL_HOU_COOK_COAL,2036,2778.6119633142985
RE1,PHL_HOU_COOK_COAL,2037,2804.8354072804827
RE1,PHL_HOU_COOK_COAL,2038,2831.0680267026296
RE1,PHL_HOU_COOK_COAL,2039,2857.2914706688134
RE1,PHL_HOU_COOK_COAL,2040,2883.524099266416
RE1,PHL_HOU_COOK_COAL,2041,2906.820572780472
RE1,PHL_HOU_COOK_COAL,2042,2930.117055469984
RE1,PHL_HOU_COOK_COAL,2043,2953.413528984039
RE1,PHL_HOU_COOK_COAL,2044,2976.710011673551
RE1,PHL_HOU_COOK_COAL,2045,3000.0156698190253
RE1,PHL_HOU_COOK_COAL,2046,3020.1741373938085
RE1,PHL_HOU_COOK_COAL,2047,3040.3326141440475
RE1,PHL_HOU_COOK_COAL,2048,3060.49108171883
RE1,PHL_HOU_COOK_COAL,2049,3080.6587247495763
RE1,PHL_HOU_COOK_COAL,2050,3100.8171923243594
RE1,PHL_HOU_COOK_COAL,2051,3118.2138568297996
RE1,PHL_HOU_COOK_COAL,2052,3135.6013458792777
RE1,PHL_HOU_COOK_COAL,2053,3152.9980103847183
RE1,PHL_HOU_COOK_ELE,2020,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2021,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2022,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2023,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2024,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2025,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2026,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2027,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2028,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2029,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2030,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2031,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2032,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2033,101.97366865366806
RE1,PHL_HOU_COOK_ELE,2034,101.97366865366806
RE1,PHL_INDU_OTHHPH_BIOM,2020,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2021,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2022,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2023,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2024,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2025,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2026,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2027,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2028,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2029,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2030,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2031,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2032,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2033,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2034,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2035,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2036,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2037,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2038,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2039,23.64798775882814
