r,t,y,TotalCapacityAnnual
RE1,PHL_AGR_UNIT,2023,999999.0
RE1,PHL_AGR_UNIT,2024,999999.0
RE1,PHL_AGR_UNIT,2025,999999.0
RE1,PHL_AGR_UNIT,2026,999999.0
RE1,PHL_AGR_UNIT,2027,999999.0
RE1,PHL_AGR_UNIT,2028,999999.0
RE1,PHL_AGR_UNIT,2029,999999.0
RE1,PHL_AGR_UNIT,2030,999999.0
RE1,PHL_AGR_UNIT,2031,999999.0
RE1,PHL_AGR_UNIT,2032,999999.0
RE1,PHL_AGR_UNIT,2033,999999.0
RE1,PHL_AGR_UNIT,2034,999999.0
RE1,PHL_AGR_UNIT,2035,999999.0
RE1,PHL_AGR_UNIT,2036,999999.0
RE1,PHL_AGR_UNIT,2037,999999.0
RE1,PHL_AGR_UNIT,2038,999999.0
RE1,PHL_AGR_UNIT,2039,999999.0
RE1,PHL_AGR_UNIT,2040,999999.0
RE1,PHL_AGR_UNIT,2041,999999.0
RE1,PHL_AGR_UNIT,2042,999999.0
RE1,PHL_AGR_UNIT,2043,999999.0
RE1,PHL_AGR_UNIT,2044,999999.0
RE1,PHL_AGR_UNIT,2045,999999.0
RE1,PHL_AGR_UNIT,2046,999999.0
RE1,PHL_AGR_UNIT,2047,999999.0
RE1,PHL_AGR_UNIT,2048,999999.0
RE1,PHL_AGR_UNIT,2049,999999.0
RE1,PHL_AGR_UNIT,2050,999999.0
RE1,PHL_AGR_UNIT,2051,999999.0
RE1,PHL_AGR_UNIT,2052,999999.0
RE1,PHL_AGR_UNIT,2053,999999.0
RE1,PHL_AGR_FAC,2020,999999.0
RE1,PHL_AGR_FAC,2021,999999.0
RE1,PHL_AGR_FAC,2022,999999.0
RE1,PHL_AGR_FAC,2023,999999.0
RE1,PHL_AGR_FAC,2024,999999.0
RE1,PHL_AGR_FAC,2025,999999.0
RE1,PHL_AGR_FAC,2026,999999.0
RE1,PHL_AGR_FAC,2027,999999.0
RE1,PHL_AGR_FAC,2028,999999.0
RE1,PHL_AGR_FAC,2029,999999.0
RE1,PHL_AGR_FAC,2030,999999.0
RE1,PHL_AGR_FAC,2031,999999.0
RE1,PHL_AGR_FAC,2032,999999.0
RE1,PHL_AGR_FAC,2033,999999.0
RE1,PHL_AGR_FAC,2034,999999.0
RE1,PHL_AGR_FAC,2035,999999.0
RE1,PHL_AGR_FAC,2036,999999.0
RE1,PHL_AGR_FAC,2037,999999.0
RE1,PHL_AGR_FAC,2038,999999.0
RE1,PHL_AGR_FAC,2039,999999.0
RE1,PHL_AGR_FAC,2040,999999.0
RE1,PHL_AGR_FAC,2041,999999.0
RE1,PHL_AGR_FAC,2042,999999.0
RE1,PHL_AGR_FAC,2043,999999.0
RE1,PHL_AGR_FAC,2044,999999.0
RE1,PHL_AGR_FAC,2045,999999.0
RE1,PHL_AGR_FAC,2046,999999.0
RE1,PHL_AGR_FAC,2047,999999.0
RE1,PHL_AGR_FAC,2048,999999.0
RE1,PHL_AGR_FAC,2049,999999.0
RE1,PHL_AGR_FAC,2050,999999.0
RE1,PHL_AGR_FAC,2051,999999.0
RE1,PHL_AGR_FAC,2052,999999.0
RE1,PHL_AGR_FAC,2053,999999.0
RE1,PHL_AGR_HEAT_OIL,2020,0.0387
RE1,PHL_AGR_HEAT_OIL,2021,0.0387
RE1,PHL_AGR_HEAT_OIL,2022,0.0386
RE1,PHL_AGR_HEAT_OIL,2023,0.0386
RE1,PHL_AGR_HEAT_OIL,2024,0.0385
RE1,PHL_AGR_HEAT_OIL,2025,0.0385
RE1,PHL_AGR_HEAT_OIL,2026,0.0384
RE1,PHL_AGR_HEAT_OIL,2027,0.0383
RE1,PHL_AGR_HEAT_OIL,2028,0.0383
RE1,PHL_AGR_HEAT_OIL,2029,0.0382
RE1,PHL_AGR_HEAT_OIL,2030,0.0382
RE1,PHL_AGR_HEAT_OIL,2031,0.0381
RE1,PHL_AGR_HEAT_OIL,2032,0.0381
RE1,PHL_AGR_HEAT_OIL,2033,0.038
RE1,PHL_AGR_HEAT_OIL,2034,0.038
RE1,PHL_AGR_HEAT_OIL,2035,0.0379
RE1,PHL_AGR_HEAT_OIL,2036,0.0379
RE1,PHL_AGR_HEAT_OIL,2037,0.0378
RE1,PHL_AGR_HEAT_OIL,2038,0.0377
RE1,PHL_AGR_HEAT_OIL,2039,0.0377
RE1,PHL_AGR_HEAT_OIL,2040,0.0376
RE1,PHL_AGR_HEAT_OIL,2041,0.0376
RE1,PHL_AGR_HEAT_OIL,2042,0.0375
RE1,PHL_AGR_HEAT_OIL,2043,0.0375
RE1,PHL_AGR_HEAT_OIL,2044,0.0375
RE1,PHL_AGR_HEAT_OIL,2045,0.0
RE1,PHL_AGR_HEAT_OIL,2046,0.0
RE1,PHL_AGR_HEAT_OIL,2047,0.0
RE1,PHL_AGR_HEAT_OIL,2048,0.0
RE1,PHL_AGR_HEAT_OIL,2049,0.0
RE1,PHL_AGR_HEAT_OIL,2050,0.0
RE1,PHL_AGR_HEAT_OIL,2051,0.0
RE1,PHL_AGR_HEAT_OIL,2052,0.0
RE1,PHL_AGR_HEAT_OIL,2053,0.0
RE1,PHL_AGR_HEAT_NG,2020,0.3263
RE1,PHL_AGR_HEAT_NG,2021,0.3387
RE1,PHL_AGR_HEAT_NG,2022,0.347
RE1,PHL_AGR_HEAT_NG,2023,0.3554
RE1,PHL_AGR_HEAT_NG,2024,0.3638
RE1,PHL_AGR_HEAT_NG,2025,0.3721
RE1,PHL_AGR_HEAT_NG,2026,0.3812
RE1,PHL_AGR_HEAT_NG,2027,0.3902
RE1,PHL_AGR_HEAT_NG,2028,0.3993
RE1,PHL_AGR_HEAT_NG,2029,0.4084
RE1,PHL_AGR_HEAT_NG,2030,0.4174
RE1,PHL_AGR_HEAT_NG,2031,0.4277
RE1,PHL_AGR_HEAT_NG,2032,0.438
RE1,PHL_AGR_HEAT_NG,2033,0.4483
RE1,PHL_AGR_HEAT_NG,2034,0.4586
RE1,PHL_AGR_HEAT_NG,2035,0.4689
