r,l,f,y,Demand
RE1,1,PHL_LND_LOTH,2028,0.0
RE1,1,PHL_LND_LOTH,2029,0.0
RE1,1,PHL_LND_LOTH,2030,0.0
RE1,1,PHL_LND_LOTH,2031,0.0
RE1,1,PHL_LND_LOTH,2032,0.0
RE1,1,PHL_LND_LOTH,2033,0.0
RE1,1,PHL_LND_LOTH,2034,0.0
RE1,1,PHL_LND_LOTH,2035,0.0
RE1,1,PHL_LND_LOTH,2036,0.0
RE1,1,PHL_LND_LOTH,2037,0.0
RE1,1,PHL_LND_LOTH,2038,0.0
RE1,1,PHL_LND_LOTH,2039,0.0
RE1,1,PHL_LND_LOTH,2040,0.0
RE1,1,PHL_LND_LOTH,2041,0.0
RE1,1,PHL_LND_LOTH,2042,0.0
RE1,1,PHL_LND_LOTH,2043,0.0
RE1,1,PHL_LND_LOTH,2044,0.0
RE1,1,PHL_LND_LOTH,2045,0.0
RE1,1,PHL_LND_LOTH,2046,0.0
RE1,1,PHL_LND_LOTH,2047,0.0
RE1,1,PHL_LND_LOTH,2048,0.0
RE1,1,PHL_LND_LOTH,2049,0.0
RE1,1,PHL_LND_LOTH,2050,0.0
RE1,1,PHL_LND_LOTH,2051,0.0
RE1,1,PHL_LND_LOTH,2052,0.0
RE1,1,PHL_LND_LOTH,2053,0.0
RE1,1,PHL_LND_LGRS,2020,0.0
RE1,1,PHL_LND_LGRS,2021,0.0
RE1,1,PHL_LND_LGRS,2022,0.0
RE1,1,PHL_LND_LGRS,2023,0.0
RE1,1,PHL_LND_LGRS,2024,0.0
RE1,1,PHL_LND_LGRS,2025,0.0
RE1,1,PHL_LND_LGRS,2026,0.0
RE1,1,PHL_LND_LGRS,2027,0.0
RE1,1,PHL_LND_LGRS,2028,0.0
RE1,1,PHL_LND_LGRS,2029,0.0
RE1,1,PHL_LND_LGRS,2030,0.0
RE1,1,PHL_LND_LGRS,2031,0.0
RE1,1,PHL_LND_LGRS,2032,0.0
RE1,1,PHL_LND_LGRS,2033,0.0
RE1,1,PHL_LND_LGRS,2034,0.0
RE1,1,PHL_LND_LGRS,2035,0.0
RE1,1,PHL_LND_LGRS,2036,0.0
RE1,1,PHL_LND_LGRS,2037,0.0
RE1,1,PHL_LND_LGRS,2038,0.0
RE1,1,PHL_LND_LGRS,2039,0.0
RE1,1,PHL_LND_LGRS,2040,0.0
RE1,1,PHL_LND_LGRS,2041,0.0
RE1,1,PHL_LND_LGRS,2042,0.0
RE1,1,PHL_LND_LGRS,2043,0.0
RE1,1,PHL_LND_LGRS,2044,0.0
RE1,1,PHL_LND_LGRS,2045,0.0
RE1,1,PHL_LND_LGRS,2046,0.0
RE1,1,PHL_LND_LGRS,2047,0.0
RE1,1,PHL_LND_LGRS,2048,0.0
RE1,1,PHL_LND_LGRS,2049,0.0
RE1,1,PHL_LND_LGRS,2050,0.0
RE1,1,PHL_LND_LGRS,2051,0.0
RE1,1,PHL_LND_LGRS,2052,0.0
RE1,1,PHL_LND_LGRS,2053,0.0
RE1,1,PHL_LND_LBLT,2020,0.0
RE1,1,PHL_LND_LBLT,2021,0.0
RE1,1,PHL_LND_LBLT,2022,0.0
RE1,1,PHL_LND_LBLT,2023,0.0
RE1,1,PHL_LND_LBLT,2024,0.0
RE1,1,PHL_LND_LBLT,2025,0.0
RE1,1,PHL_LND_LBLT,2026,0.0
RE1,1,PHL_LND_LBLT,2027,0.0
RE1,1,PHL_LND_LBLT,2028,0.0
RE1,1,PHL_LND_LBLT,2029,0.0
RE1,1,PHL_LND_LBLT,2030,0.0
RE1,1,PHL_LND_LBLT,2031,0.0
RE1,1,PHL_LND_LBLT,2032,0.0
RE1,1,PHL_LND_LBLT,2033,0.0
RE1,1,PHL_LND_LBLT,2034,0.0
RE1,1,PHL_LND_LBLT,2035,0.0
RE1,1,PHL_LND_LBLT,2036,0.0
RE1,1,PHL_LND_LBLT,2037,0.0
RE1,1,PHL_LND_LBLT,2038,0.0
RE1,1,PHL_LND_LBLT,2039,0.0
RE1,1,PHL_LND_LBLT,2040,0.0
RE1,1,PHL_LND_LBLT,2041,0.0
RE1,1,PHL_LND_LBLT,2042,0.0
RE1,1,PHL_LND_LBLT,2043,0.0
RE1,1,PHL_LND_LBLT,2044,0.0
RE1,1,PHL_LND_LBLT,2045,0.0
RE1,1,PHL_LND_LBLT,2046,0.0
RE1,1,PHL_LND_LBLT,2047,0.0
RE1,1,PHL_LND_LBLT,2048,0.0
RE1,1,PHL_LND_LBLT,2049,0.0
RE1,1,PHL_LND_LBLT,2050,0.0
RE1,1,PHL_LND_LBLT,2051,0.0
RE1,1,PHL_LND_LBLT,2052,0.0
RE1,1,PHL_LND_LBLT,2053,0.0
RE1,1,PHL_LND_LWAT,2020,0.0
RE1,1,PHL_LND_LWAT,2021,0.0
RE1,1,PHL_LND_LWAT,2022,0.0
RE1,1,PHL_LND_LWAT,2023,0.0
RE1,1,PHL_LND_LWAT,2024,0.0
RE1,1,PHL_LND_LWAT,2025,0.0
RE1,1,PHL_LND_LWAT,2026,0.0
RE1,1,PHL_LND_LWAT,2027,0.0
RE1,1,PHL_LND_LWAT,2028,0.0
RE1,1,PHL_LND_LWAT,2029,0.0
RE1,1,PHL_LND_LWAT,2030,0.0
RE1,1,PHL_LND_LWAT,2031,0.0
RE1,1,PHL_LND_LWAT,2032,0.0
RE1,1,PHL_LND_LWAT,2033,0.0
RE1,1,PHL_LND_LWAT,2034,0.0
RE1,1,PHL_LND_LWAT,2035,0.0
RE1,1,PHL_LND_LWAT,2036,0.0
RE1,1,PHL_LND_LWAT,2037,0.0
RE1,1,PHL_LND_LWAT,2038,0.0
RE1,1,PHL_LND_LWAT,2039,0.0
RE1,1,PHL_LND_LWAT,2040,0.0
RE1,1,PHL_LND_LWAT,2041,0.0
RE1,1,PHL_LND_LWAT,2042,0.0
RE1,1,PHL_LND_LWAT,2043,0.0
RE1,1,PHL_LND_LWAT,2044,0.0
RE1,1,PHL_LND_LWAT,2045,0.0
RE1,1,PHL_LND_LWAT,2046,0.0
RE1,1,PHL_LND_LWAT,2047,0.0
RE1,1,PHL_LND_LWAT,2048,0.0
RE1,1,PHL_LND_LWAT,2049,0.0
RE1,1,PHL_LND_LWAT,2050,0.0
RE1,1,PHL_LND_LWAT,2051,0.0
RE1,1,PHL_LND_LWAT,2052,0.0
RE1,1,PHL_LND_LWAT,2053,0.0
RE1,1,PHL_LND_LFOR,2020,0.0
RE1,1,PHL_LND_LFOR,2021,0.0
RE1,1,PHL_LND_LFOR,2022,0.0
RE1,1,PHL_LND_LFOR,2023,0.0
RE1,1,PHL_LND_LFOR,2024,0.0
RE1,1,PHL_LND_LFOR,2025,0.0
RE1,1,PHL_LND_LFOR,2026,0.0
RE1,1,PHL_LND_LFOR,2027,0.0
RE1,1,PHL_LND_LFOR,2028,0.0
RE1,1,PHL_LND_LFOR,2029,0.0
