r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,PHL_DEM_PUB_SUR_WAT,1,2050,52.1993
RE1,PHL_DEM_PUB_SUR_WAT,1,2051,59.5061
RE1,PHL_DEM_PUB_SUR_WAT,1,2052,64.028
RE1,PHL_DEM_PUB_SUR_WAT,1,2053,57.0549
RE1,PHL_MIN_PRC,1,2020,99999.0
RE1,PHL_MIN_PRC,1,2021,152.2086
RE1,PHL_MIN_PRC,1,2022,152.4311
RE1,PHL_MIN_PRC,1,2023,152.662
RE1,PHL_MIN_PRC,1,2024,152.9016
RE1,PHL_MIN_PRC,1,2025,153.1501
RE1,PHL_MIN_PRC,1,2026,153.4078
RE1,PHL_MIN_PRC,1,2027,153.6753
RE1,PHL_MIN_PRC,1,2028,153.9527
RE1,PHL_MIN_PRC,1,2029,154.2405
RE1,PHL_MIN_PRC,1,2030,154.5391
RE1,PHL_MIN_PRC,1,2031,154.8488
RE1,PHL_MIN_PRC,1,2032,155.3916
RE1,PHL_MIN_PRC,1,2033,159.6496
RE1,PHL_MIN_PRC,1,2034,162.7219
RE1,PHL_MIN_PRC,1,2035,166.1262
RE1,PHL_MIN_PRC,1,2036,171.1014
RE1,PHL_MIN_PRC,1,2037,177.3308
RE1,PHL_MIN_PRC,1,2038,182.2267
RE1,PHL_MIN_PRC,1,2039,187.1997
RE1,PHL_MIN_PRC,1,2040,186.2506
RE1,PHL_MIN_PRC,1,2041,180.8228
RE1,PHL_MIN_PRC,1,2042,183.3351
RE1,PHL_MIN_PRC,1,2043,185.9405
RE1,PHL_MIN_PRC,1,2044,188.6384
RE1,PHL_MIN_PRC,1,2045,191.5466
RE1,PHL_MIN_PRC,1,2046,194.4344
RE1,PHL_MIN_PRC,1,2047,197.5152
RE1,PHL_MIN_PRC,1,2048,200.898
RE1,PHL_MIN_PRC,1,2049,204.3823
RE1,PHL_MIN_PRC,1,2050,227.2252
RE1,PHL_MIN_PRC,1,2051,232.4959
RE1,PHL_MIN_PRC,1,2052,237.6329
RE1,PHL_MIN_PRC,1,2053,243.2592
RE1,PHL_AGR_MOT_ELE,1,2020,0.0
RE1,PHL_AGR_MOT_ELE,1,2021,0.0
RE1,PHL_AGR_MOT_ELE,1,2022,0.0
RE1,PHL_AGR_MOT_ELE,1,2023,0.0
RE1,PHL_AGR_MOT_ELE,1,2024,0.0
RE1,PHL_AGR_MOT_ELE,1,2025,0.0
RE1,PHL_AGR_MOT_ELE,1,2026,0.0
RE1,PHL_AGR_MOT_ELE,1,2027,0.0
RE1,PHL_AGR_MOT_ELE,1,2028,0.0
RE1,PHL_AGR_MOT_ELE,1,2029,0.0
RE1,PHL_AGR_MOT_ELE,1,2030,0.0
RE1,PHL_AGR_MOT_ELE,1,2031,0.0
RE1,PHL_AGR_MOT_ELE,1,2032,0.0
RE1,PHL_AGR_MOT_ELE,1,2033,0.0
RE1,PHL_AGR_MOT_ELE,1,2034,0.0
RE1,PHL_AGR_MOT_ELE,1,2035,0.0
RE1,PHL_AGR_MOT_ELE,1,2036,0.0
RE1,PHL_AGR_MOT_ELE,1,2037,0.0
RE1,PHL_AGR_MOT_ELE,1,2038,0.0
RE1,PHL_AGR_MOT_ELE,1,2039,0.0
RE1,PHL_AGR_MOT_ELE,1,2040,0.0
RE1,PHL_AGR_MOT_ELE,1,2041,0.0
RE1,PHL_AGR_MOT_ELE,1,2042,0.0
RE1,PHL_AGR_MOT_ELE,1,2043,0.0
RE1,PHL_AGR_MOT_ELE,1,2044,0.0
RE1,PHL_AGR_MOT_ELE,1,2045,0.0
RE1,PHL_AGR_MOT_ELE,1,2046,0.0
RE1,PHL_AGR_MOT_ELE,1,2047,0.0
RE1,PHL_AGR_MOT_ELE,1,2048,0.0
RE1,PHL_AGR_MOT_ELE,1,2049,0.0
RE1,PHL_AGR_MOT_ELE,1,2050,0.0
RE1,PHL_AGR_MOT_ELE,1,2051,0.0
RE1,PHL_AGR_MOT_ELE,1,2052,0.0
RE1,PHL_AGR_MOT_ELE,1,2053,0.0
RE1,PHL_AGR_MOT_LIQ,1,2020,7.8931
RE1,PHL_AGR_MOT_LIQ,1,2021,8.0708
RE1,PHL_AGR_MOT_LIQ,1,2022,8.2485
RE1,PHL_AGR_MOT_LIQ,1,2023,8.4262
RE1,PHL_AGR_MOT_LIQ,1,2024,8.6039
RE1,PHL_AGR_MOT_LIQ,1,2025,8.7815
RE1,PHL_AGR_MOT_LIQ,1,2026,8.9742
RE1,PHL_AGR_MOT_LIQ,1,2027,9.1668
RE1,PHL_AGR_MOT_LIQ,1,2028,9.3595
RE1,PHL_AGR_MOT_LIQ,1,2029,9.5521
RE1,PHL_AGR_MOT_LIQ,1,2030,9.7448
RE1,PHL_AGR_MOT_LIQ,1,2031,9.9637
RE1,PHL_AGR_MOT_LIQ,1,2032,10.1825
RE1,PHL_AGR_MOT_LIQ,1,2033,10.4014
RE1,PHL_AGR_MOT_LIQ,1,2034,10.6203
RE1,PHL_AGR_MOT_LIQ,1,2035,10.8392
RE1,PHL_AGR_MOT_LIQ,1,2036,11.0995
RE1,PHL_AGR_MOT_LIQ,1,2037,11.3599
RE1,PHL_AGR_MOT_LIQ,1,2038,11.6203
RE1,PHL_AGR_MOT_LIQ,1,2039,11.8807
RE1,PHL_AGR_MOT_LIQ,1,2040,12.1411
RE1,PHL_AGR_MOT_LIQ,1,2041,12.4442
RE1,PHL_AGR_MOT_LIQ,1,2042,12.7473
RE1,PHL_AGR_MOT_LIQ,1,2043,13.0504
RE1,PHL_AGR_MOT_LIQ,1,2044,13.3535
RE1,PHL_AGR_MOT_LIQ,1,2045,13.6565
RE1,PHL_AGR_MOT_LIQ,1,2046,14.0021
RE1,PHL_AGR_MOT_LIQ,1,2047,14.3477
RE1,PHL_AGR_MOT_LIQ,1,2048,14.6933
RE1,PHL_AGR_MOT_LIQ,1,2049,15.0389
RE1,PHL_AGR_MOT_LIQ,1,2050,15.3845
RE1,PHL_AGR_MOT_LIQ,1,2051,15.7644
RE1,PHL_AGR_MOT_LIQ,1,2052,16.1444
RE1,PHL_AGR_MOT_LIQ,1,2053,16.5243
RE1,PHL_AGR_UNIT,1,2020,9.294
RE1,PHL_AGR_UNIT,1,2021,9.5032
RE1,PHL_AGR_UNIT,1,2022,9.7124
RE1,PHL_AGR_UNIT,1,2023,9.9217
RE1,PHL_AGR_UNIT,1,2024,10.1309
RE1,PHL_AGR_UNIT,1,2025,10.3401
RE1,PHL_AGR_UNIT,1,2026,10.567
RE1,PHL_AGR_UNIT,1,2027,10.7938
RE1,PHL_AGR_UNIT,1,2028,11.0207
RE1,PHL_AGR_UNIT,1,2029,11.2475
RE1,PHL_AGR_UNIT,1,2030,11.4743
RE1,PHL_AGR_UNIT,1,2031,11.7321
RE1,PHL_AGR_UNIT,1,2032,11.9898
RE1,PHL_AGR_UNIT,1,2033,12.2475
RE1,PHL_AGR_UNIT,1,2034,12.5052
RE1,PHL_AGR_UNIT,1,2035,12.7629
RE1,PHL_AGR_UNIT,1,2036,13.0695
RE1,PHL_AGR_UNIT,1,2037,13.3761
RE1,PHL_AGR_UNIT,1,2038,13.6827
RE1,PHL_AGR_UNIT,1,2039,13.9894
RE1,PHL_AGR_UNIT,1,2040,14.296
RE1,PHL_AGR_UNIT,1,2041,14.6528
RE1,PHL_AGR_UNIT,1,2042,15.0097
RE1,PHL_AGR_UNIT,1,2043,15.3666
RE1,PHL_AGR_UNIT,1,2044,15.7235
RE1,PHL_AGR_UNIT,1,2045,16.0804
RE1,PHL_AGR_UNIT,1,2046,16.4873
RE1,PHL_AGR_UNIT,1,2047,16.8942
RE1,PHL_AGR_UNIT,1,2048,17.3011
RE1,PHL_AGR_UNIT,1,2049,17.7081
RE1,PHL_AGR_UNIT,1,2050,18.115
RE1,PHL_AGR_UNIT,1,2051,18.5624
RE1,PHL_AGR_UNIT,1,2052,19.0098
RE1,PHL_AGR_UNIT,1,2053,19.4571
RE1,PHL_AGR_FAC,1,2020,9.294
RE1,PHL_AGR_FAC,1,2021,9.5032
RE1,PHL_AGR_FAC,1,2022,9.7124
RE1,PHL_AGR_FAC,1,2023,9.9217
RE1,PHL_AGR_FAC,1,2024,10.1309
RE1,PHL_AGR_FAC,1,2025,10.3401
RE1,PHL_AGR_FAC,1,2026,10.567
RE1,PHL_AGR_FAC,1,2027,10.7938
RE1,PHL_AGR_FAC,1,2028,11.0207
RE1,PHL_AGR_FAC,1,2029,11.2475
RE1,PHL_AGR_FAC,1,2030,11.4743
RE1,PHL_AGR_FAC,1,2031,11.7321
RE1,PHL_AGR_FAC,1,2032,11.9898
RE1,PHL_AGR_FAC,1,2033,12.2475
RE1,PHL_AGR_FAC,1,2034,12.5052
RE1,PHL_AGR_FAC,1,2035,12.7629
RE1,PHL_AGR_FAC,1,2036,13.0695
RE1,PHL_AGR_FAC,1,2037,13.3761
RE1,PHL_AGR_FAC,1,2038,13.6827
RE1,PHL_AGR_FAC,1,2039,13.9894
RE1,PHL_AGR_FAC,1,2040,14.296
RE1,PHL_AGR_FAC,1,2041,11.2973
RE1,PHL_AGR_FAC,1,2042,10.4152
RE1,PHL_AGR_FAC,1,2043,9.5966
RE1,PHL_AGR_FAC,1,2044,8.8375
RE1,PHL_AGR_FAC,1,2045,8.1343
RE1,PHL_AGR_FAC,1,2046,7.5061
RE1,PHL_AGR_FAC,1,2047,6.9222
RE1,PHL_AGR_FAC,1,2048,6.3801
RE1,PHL_AGR_FAC,1,2049,5.8771
RE1,PHL_AGR_FAC,1,2050,18.115
RE1,PHL_AGR_FAC,1,2051,18.5624
RE1,PHL_AGR_FAC,1,2052,19.0098
RE1,PHL_AGR_FAC,1,2053,19.4571
RE1,PHL_AGR_HEAT_OIL,1,2020,1.231
RE1,PHL_AGR_HEAT_OIL,1,2021,1.0398
RE1,PHL_AGR_HEAT_OIL,1,2022,1.0379
RE1,PHL_AGR_HEAT_OIL,1,2023,1.0114
RE1,PHL_AGR_HEAT_OIL,1,2024,1.11
RE1,PHL_AGR_HEAT_OIL,1,2025,1.0351
RE1,PHL_AGR_HEAT_OIL,1,2026,1.0471
RE1,PHL_AGR_HEAT_OIL,1,2027,1.0703
RE1,PHL_AGR_HEAT_OIL,1,2028,1.0467
RE1,PHL_AGR_HEAT_OIL,1,2029,1.0282
RE1,PHL_AGR_HEAT_OIL,1,2030,0.9431
RE1,PHL_AGR_HEAT_OIL,1,2031,1.0571
RE1,PHL_AGR_HEAT_OIL,1,2032,0.9405
RE1,PHL_AGR_HEAT_OIL,1,2033,1.0399
RE1,PHL_AGR_HEAT_OIL,1,2034,0.957
RE1,PHL_AGR_HEAT_OIL,1,2035,0.9989
RE1,PHL_AGR_HEAT_OIL,1,2036,0.9921
RE1,PHL_AGR_HEAT_OIL,1,2037,1.0087
RE1,PHL_AGR_HEAT_OIL,1,2038,0.9898
RE1,PHL_AGR_HEAT_OIL,1,2039,0.9732
RE1,PHL_AGR_HEAT_OIL,1,2040,0.9449
RE1,PHL_AGR_HEAT_OIL,1,2041,0.1399
RE1,PHL_AGR_HEAT_OIL,1,2042,0.6462
RE1,PHL_AGR_HEAT_OIL,1,2043,0.3939
RE1,PHL_AGR_HEAT_OIL,1,2044,0.8124
RE1,PHL_AGR_HEAT_OIL,1,2045,0.0
RE1,PHL_AGR_HEAT_OIL,1,2046,0.0
RE1,PHL_AGR_HEAT_OIL,1,2047,0.0
RE1,PHL_AGR_HEAT_OIL,1,2048,0.0
RE1,PHL_AGR_HEAT_OIL,1,2049,0.0
RE1,PHL_AGR_HEAT_OIL,1,2050,0.0
RE1,PHL_AGR_HEAT_OIL,1,2051,0.0
RE1,PHL_AGR_HEAT_OIL,1,2052,0.0
RE1,PHL_AGR_HEAT_OIL,1,2053,0.0
RE1,PHL_AGR_HEAT_NG,1,2020,7.5128
RE1,PHL_AGR_HEAT_NG,1,2021,8.0266
RE1,PHL_AGR_HEAT_NG,1,2022,8.2281
RE1,PHL_AGR_HEAT_NG,1,2023,8.4543
RE1,PHL_AGR_HEAT_NG,1,2024,8.5552
RE1,PHL_AGR_HEAT_NG,1,2025,8.8297
RE1,PHL_AGR_HEAT_NG,1,2026,9.0342
RE1,PHL_AGR_HEAT_NG,1,2027,9.2274
RE1,PHL_AGR_HEAT_NG,1,2028,9.4673
RE1,PHL_AGR_HEAT_NG,1,2029,9.7023
RE1,PHL_AGR_HEAT_NG,1,2030,10.0038
RE1,PHL_AGR_HEAT_NG,1,2031,10.1357
RE1,PHL_AGR_HEAT_NG,1,2032,10.4982
RE1,PHL_AGR_HEAT_NG,1,2033,10.6446
RE1,PHL_AGR_HEAT_NG,1,2034,10.9734
RE1,PHL_AGR_HEAT_NG,1,2035,11.1774
RE1,PHL_AGR_HEAT_NG,1,2036,11.4767
RE1,PHL_AGR_HEAT_NG,1,2037,11.7526
RE1,PHL_AGR_HEAT_NG,1,2038,12.064
RE1,PHL_AGR_HEAT_NG,1,2039,12.3731
RE1,PHL_AGR_HEAT_NG,1,2040,12.6852
RE1,PHL_AGR_HEAT_NG,1,2041,12.3443
RE1,PHL_AGR_HEAT_NG,1,2042,10.8633
RE1,PHL_AGR_HEAT_NG,1,2043,10.2109
RE1,PHL_AGR_HEAT_NG,1,2044,8.9536
RE1,PHL_AGR_HEAT_NG,1,2045,8.9889
RE1,PHL_AGR_HEAT_NG,1,2046,8.2947
RE1,PHL_AGR_HEAT_NG,1,2047,7.6495
RE1,PHL_AGR_HEAT_NG,1,2048,7.0504
RE1,PHL_AGR_HEAT_NG,1,2049,6.4946
RE1,PHL_AGR_HEAT_NG,1,2050,17.2823
RE1,PHL_AGR_HEAT_NG,1,2051,17.7091
RE1,PHL_AGR_HEAT_NG,1,2052,18.1359
RE1,PHL_AGR_HEAT_NG,1,2053,18.5628
RE1,PHL_AGR_HEAT_ELE,1,2020,0.0
RE1,PHL_AGR_HEAT_ELE,1,2021,0.0
RE1,PHL_AGR_HEAT_ELE,1,2022,0.0
RE1,PHL_AGR_HEAT_ELE,1,2023,0.0
RE1,PHL_AGR_HEAT_ELE,1,2024,0.0
RE1,PHL_AGR_HEAT_ELE,1,2025,0.0
RE1,PHL_AGR_HEAT_ELE,1,2026,0.0
RE1,PHL_AGR_HEAT_ELE,1,2027,0.0
RE1,PHL_AGR_HEAT_ELE,1,2028,0.0
RE1,PHL_AGR_HEAT_ELE,1,2029,0.0
RE1,PHL_AGR_HEAT_ELE,1,2030,0.0
RE1,PHL_AGR_HEAT_ELE,1,2031,0.0
RE1,PHL_AGR_HEAT_ELE,1,2032,0.0
RE1,PHL_AGR_HEAT_ELE,1,2033,0.0
RE1,PHL_AGR_HEAT_ELE,1,2034,0.0
RE1,PHL_AGR_HEAT_ELE,1,2035,0.0
RE1,PHL_AGR_HEAT_ELE,1,2036,0.0
RE1,PHL_AGR_HEAT_ELE,1,2037,0.0
RE1,PHL_AGR_HEAT_ELE,1,2038,0.0
RE1,PHL_AGR_HEAT_ELE,1,2039,0.0
RE1,PHL_AGR_HEAT_ELE,1,2040,0.0
RE1,PHL_AGR_HEAT_ELE,1,2041,0.0
RE1,PHL_AGR_HEAT_ELE,1,2042,0.0
RE1,PHL_AGR_HEAT_ELE,1,2043,0.0
RE1,PHL_AGR_HEAT_ELE,1,2044,0.0
