r,t,y,CapitalInvestment
RE1,PHL_DEM_PUB_SUR_WAT,2043,0
RE1,PHL_DEM_PUB_SUR_WAT,2044,0
RE1,PHL_DEM_PUB_SUR_WAT,2045,0
RE1,PHL_DEM_PUB_SUR_WAT,2046,0
RE1,PHL_DEM_PUB_SUR_WAT,2047,0
RE1,PHL_DEM_PUB_SUR_WAT,2048,0
RE1,PHL_DEM_PUB_SUR_WAT,2049,0
RE1,PHL_DEM_PUB_SUR_WAT,2050,0
RE1,PHL_DEM_PUB_SUR_WAT,2051,0
RE1,PHL_DEM_PUB_SUR_WAT,2052,0
RE1,PHL_DEM_PUB_SUR_WAT,2053,0
RE1,PHL_MIN_PRC,2020,0
RE1,PHL_MIN_PRC,2021,0
RE1,PHL_MIN_PRC,2022,0
RE1,PHL_MIN_PRC,2023,0
RE1,PHL_MIN_PRC,2024,0
RE1,PHL_MIN_PRC,2025,0
RE1,PHL_MIN_PRC,2026,0
RE1,PHL_MIN_PRC,2027,0
RE1,PHL_MIN_PRC,2028,0
RE1,PHL_MIN_PRC,2029,0
RE1,PHL_MIN_PRC,2030,0
RE1,PHL_MIN_PRC,2031,0
RE1,PHL_MIN_PRC,2032,0
RE1,PHL_MIN_PRC,2033,0
RE1,PHL_MIN_PRC,2034,0
RE1,PHL_MIN_PRC,2035,0
RE1,PHL_MIN_PRC,2036,0
RE1,PHL_MIN_PRC,2037,0
RE1,PHL_MIN_PRC,2038,0
RE1,PHL_MIN_PRC,2039,0
RE1,PHL_MIN_PRC,2040,0
RE1,PHL_MIN_PRC,2041,0
RE1,PHL_MIN_PRC,2042,0
RE1,PHL_MIN_PRC,2043,0
RE1,PHL_MIN_PRC,2044,0
RE1,PHL_MIN_PRC,2045,0
RE1,PHL_MIN_PRC,2046,0
RE1,PHL_MIN_PRC,2047,0
RE1,PHL_MIN_PRC,2048,0
RE1,PHL_MIN_PRC,2049,0
RE1,PHL_MIN_PRC,2050,0
RE1,PHL_MIN_PRC,2051,0
RE1,PHL_MIN_PRC,2052,0
RE1,PHL_MIN_PRC,2053,0
RE1,PHL_AGR_MOT_ELE,2020,0
RE1,PHL_AGR_MOT_ELE,2021,0
RE1,PHL_AGR_MOT_ELE,2022,0
RE1,PHL_AGR_MOT_ELE,2023,0
RE1,PHL_AGR_MOT_ELE,2024,0
RE1,PHL_AGR_MOT_ELE,2025,0
RE1,PHL_AGR_MOT_ELE,2026,0
RE1,PHL_AGR_MOT_ELE,2027,0
RE1,PHL_AGR_MOT_ELE,2028,0
RE1,PHL_AGR_MOT_ELE,2029,0
RE1,PHL_AGR_MOT_ELE,2030,0
RE1,PHL_AGR_MOT_ELE,2031,0
RE1,PHL_AGR_MOT_ELE,2032,0
RE1,PHL_AGR_MOT_ELE,2033,0
RE1,PHL_AGR_MOT_ELE,2034,0
RE1,PHL_AGR_MOT_ELE,2035,0
RE1,PHL_AGR_MOT_ELE,2036,0
RE1,PHL_AGR_MOT_ELE,2037,0
RE1,PHL_AGR_MOT_ELE,2038,0
RE1,PHL_AGR_MOT_ELE,2039,0
RE1,PHL_AGR_MOT_ELE,2040,0
RE1,PHL_AGR_MOT_ELE,2041,0
RE1,PHL_AGR_MOT_ELE,2042,0
RE1,PHL_AGR_MOT_ELE,2043,0
RE1,PHL_AGR_MOT_ELE,2044,0
RE1,PHL_AGR_MOT_ELE,2045,0
RE1,PHL_AGR_MOT_ELE,2046,0
RE1,PHL_AGR_MOT_ELE,2047,0
RE1,PHL_AGR_MOT_ELE,2048,0
RE1,PHL_AGR_MOT_ELE,2049,0
RE1,PHL_AGR_MOT_ELE,2050,0
RE1,PHL_AGR_MOT_ELE,2051,0
RE1,PHL_AGR_MOT_ELE,2052,0
RE1,PHL_AGR_MOT_ELE,2053,0
RE1,PHL_AGR_MOT_LIQ,2020,14270.519
RE1,PHL_AGR_MOT_LIQ,2021,369.9875
RE1,PHL_AGR_MOT_LIQ,2022,369.9875
RE1,PHL_AGR_MOT_LIQ,2023,376.4785
RE1,PHL_AGR_MOT_LIQ,2024,382.9696
RE1,PHL_AGR_MOT_LIQ,2025,389.4606
RE1,PHL_AGR_MOT_LIQ,2026,425.9008
RE1,PHL_AGR_MOT_LIQ,2027,432.8827
RE1,PHL_AGR_MOT_LIQ,2028,439.8647
RE1,PHL_AGR_MOT_LIQ,2029,453.8287
RE1,PHL_AGR_MOT_LIQ,2030,460.8106
RE1,PHL_AGR_MOT_LIQ,2031,525.4367
RE1,PHL_AGR_MOT_LIQ,2032,533.279
RE1,PHL_AGR_MOT_LIQ,2033,533.279
RE1,PHL_AGR_MOT_LIQ,2034,498.5774
RE1,PHL_AGR_MOT_LIQ,2035,17770.378
RE1,PHL_AGR_MOT_LIQ,2036,1037.4189
RE1,PHL_AGR_MOT_LIQ,2037,1037.4189
RE1,PHL_AGR_MOT_LIQ,2038,1052.454
RE1,PHL_AGR_MOT_LIQ,2039,1052.454
RE1,PHL_AGR_MOT_LIQ,2040,1052.454
RE1,PHL_AGR_MOT_LIQ,2041,1184.893
RE1,PHL_AGR_MOT_LIQ,2042,1201.82
RE1,PHL_AGR_MOT_LIQ,2043,1201.82
RE1,PHL_AGR_MOT_LIQ,2044,1201.82
RE1,PHL_AGR_MOT_LIQ,2045,1201.82
RE1,PHL_AGR_MOT_LIQ,2046,1361.9114
RE1,PHL_AGR_MOT_LIQ,2047,1361.9114
RE1,PHL_AGR_MOT_LIQ,2048,1381.0932
RE1,PHL_AGR_MOT_LIQ,2049,1336.6995
RE1,PHL_AGR_MOT_LIQ,2050,19359.448
RE1,PHL_AGR_MOT_LIQ,2051,1980.1654
RE1,PHL_AGR_MOT_LIQ,2052,1980.1653
RE1,PHL_AGR_MOT_LIQ,2053,1980.1654
RE1,PHL_AGR_UNIT,2020,0
RE1,PHL_AGR_UNIT,2021,0
RE1,PHL_AGR_UNIT,2022,0
RE1,PHL_AGR_UNIT,2023,0
RE1,PHL_AGR_UNIT,2024,0
RE1,PHL_AGR_UNIT,2025,0
RE1,PHL_AGR_UNIT,2026,0
RE1,PHL_AGR_UNIT,2027,0
RE1,PHL_AGR_UNIT,2028,0
RE1,PHL_AGR_UNIT,2029,0
RE1,PHL_AGR_UNIT,2030,0
RE1,PHL_AGR_UNIT,2031,0
RE1,PHL_AGR_UNIT,2032,0
RE1,PHL_AGR_UNIT,2033,0
RE1,PHL_AGR_UNIT,2034,0
RE1,PHL_AGR_UNIT,2035,0
RE1,PHL_AGR_UNIT,2036,0
RE1,PHL_AGR_UNIT,2037,0
RE1,PHL_AGR_UNIT,2038,0
RE1,PHL_AGR_UNIT,2039,0
RE1,PHL_AGR_UNIT,2040,0
RE1,PHL_AGR_UNIT,2041,0
RE1,PHL_AGR_UNIT,2042,0
RE1,PHL_AGR_UNIT,2043,0
RE1,PHL_AGR_UNIT,2044,0
RE1,PHL_AGR_UNIT,2045,0
RE1,PHL_AGR_UNIT,2046,0
RE1,PHL_AGR_UNIT,2047,0
RE1,PHL_AGR_UNIT,2048,0
RE1,PHL_AGR_UNIT,2049,0
RE1,PHL_AGR_UNIT,2050,0
RE1,PHL_AGR_UNIT,2051,0
RE1,PHL_AGR_UNIT,2052,0
RE1,PHL_AGR_UNIT,2053,0
RE1,PHL_AGR_FAC,2020,0
RE1,PHL_AGR_FAC,2021,0
RE1,PHL_AGR_FAC,2022,0
RE1,PHL_AGR_FAC,2023,0
RE1,PHL_AGR_FAC,2024,0
RE1,PHL_AGR_FAC,2025,0
RE1,PHL_AGR_FAC,2026,0
RE1,PHL_AGR_FAC,2027,0
RE1,PHL_AGR_FAC,2028,0
RE1,PHL_AGR_FAC,2029,0
RE1,PHL_AGR_FAC,2030,0
RE1,PHL_AGR_FAC,2031,0
RE1,PHL_AGR_FAC,2032,0
RE1,PHL_AGR_FAC,2033,0
RE1,PHL_AGR_FAC,2034,0
RE1,PHL_AGR_FAC,2035,0
RE1,PHL_AGR_FAC,2036,0
RE1,PHL_AGR_FAC,2037,0
RE1,PHL_AGR_FAC,2038,0
RE1,PHL_AGR_FAC,2039,0
RE1,PHL_AGR_FAC,2040,0
RE1,PHL_AGR_FAC,2041,0
RE1,PHL_AGR_FAC,2042,0
RE1,PHL_AGR_FAC,2043,0
RE1,PHL_AGR_FAC,2044,0
RE1,PHL_AGR_FAC,2045,0
RE1,PHL_AGR_FAC,2046,0
RE1,PHL_AGR_FAC,2047,0
RE1,PHL_AGR_FAC,2048,0
RE1,PHL_AGR_FAC,2049,0
RE1,PHL_AGR_FAC,2050,0
RE1,PHL_AGR_FAC,2051,0
RE1,PHL_AGR_FAC,2052,0
RE1,PHL_AGR_FAC,2053,0
RE1,PHL_AGR_HEAT_OIL,2020,10.9168
RE1,PHL_AGR_HEAT_OIL,2021,0
RE1,PHL_AGR_HEAT_OIL,2022,0
RE1,PHL_AGR_HEAT_OIL,2023,0
RE1,PHL_AGR_HEAT_OIL,2024,0
RE1,PHL_AGR_HEAT_OIL,2025,0
