r,t,e,m,y,AnnualTechnologyEmissionByMode
RE1,PHL_PRO_PROC_COAL,CO2e,1,2042,133.3073
RE1,PHL_PRO_PROC_COAL,CO2e,1,2043,135.2845
RE1,PHL_PRO_PROC_COAL,CO2e,1,2044,136.8941
RE1,PHL_PRO_PROC_COAL,CO2e,1,2045,137.9203
RE1,PHL_PRO_PROC_COAL,CO2e,1,2046,134.6741
RE1,PHL_PRO_PROC_COAL,CO2e,1,2047,129.9811
RE1,PHL_PRO_PROC_COAL,CO2e,1,2048,129.1131
RE1,PHL_PRO_PROC_COAL,CO2e,1,2049,128.0754
RE1,PHL_PRO_PROC_COAL,CO2e,1,2050,123.0745
RE1,PHL_PRO_PROC_COAL,CO2e,1,2051,122.9684
RE1,PHL_PRO_PROC_COAL,CO2e,1,2052,121.2248
RE1,PHL_PRO_PROC_COAL,CO2e,1,2053,114.9555
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2020,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2021,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2022,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2023,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2024,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2025,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2026,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2027,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2028,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2029,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2030,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2031,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2032,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2033,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2034,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2035,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2036,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2037,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2038,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2039,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2040,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2041,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2042,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2043,0.0
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2044,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2045,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2046,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2047,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2048,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2049,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2050,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2051,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2052,0.0001
RE1,PHL_TRA_RAILP_LIQ,PM2_5,1,2053,0.0001
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2020,0.6528
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2021,0.6844
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2022,0.716
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2023,0.7476
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2024,0.7792
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2025,0.8108
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2026,0.8441
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2027,0.8774
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2028,0.9107
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2029,0.944
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2030,0.9773
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2031,1.0104
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2032,1.0435
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2033,1.0767
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2034,1.1098
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2035,1.1429
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2036,1.175
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2037,1.2072
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2038,1.2393
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2039,1.2714
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2040,1.3035
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2041,1.3322
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2042,1.3609
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2043,1.3896
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2044,1.4183
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2045,1.4469
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2046,1.4703
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2047,1.4937
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2048,1.5171
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2049,1.5405
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2050,1.522
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2051,1.5074
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2052,1.486
RE1,PHL_TRA_CAR_LIQ,PM2_5,1,2053,1.3748
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2020,32.2501
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2021,32.7162
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2022,33.1825
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2023,33.6486
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2024,34.1149
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2025,34.5811
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2026,32.807
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2027,31.0331
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2028,29.259
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2029,27.4851
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2030,25.711
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2031,23.9029
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2032,22.0946
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2033,20.2864
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2034,18.4781
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2035,16.67
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2036,14.8229
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2037,12.9758
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2038,11.1286
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2039,9.2816
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2040,7.4345
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2041,7.167
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2042,6.8995
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2043,6.6319
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2044,6.3642
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2045,6.0968
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2046,5.8084
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2047,5.5201
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2048,5.2316
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2049,4.9432
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2050,5.0739
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2051,5.1159
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2052,5.225
RE1,PHL_TRA_23WHEEL_LIQ,PM2_5,1,2053,6.2323
RE1,PHL_POW_PP_COAL,PM2_5,1,2020,0.0
RE1,PHL_POW_PP_COAL,PM2_5,1,2021,0.0
RE1,PHL_POW_PP_COAL,PM2_5,1,2022,0.0
RE1,PHL_POW_PP_COAL,PM2_5,1,2023,0.0
RE1,PHL_POW_PP_COAL,PM2_5,1,2024,0.0
RE1,PHL_POW_PP_COAL,PM2_5,1,2025,0.0005
RE1,PHL_POW_PP_COAL,PM2_5,1,2026,0.0005
RE1,PHL_POW_PP_COAL,PM2_5,1,2027,0.0009
RE1,PHL_POW_PP_COAL,PM2_5,1,2028,0.0013
RE1,PHL_POW_PP_COAL,PM2_5,1,2029,0.0016
RE1,PHL_POW_PP_COAL,PM2_5,1,2030,0.0032
RE1,PHL_POW_PP_COAL,PM2_5,1,2031,0.0033
RE1,PHL_POW_PP_COAL,PM2_5,1,2032,0.0033
