r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2043,1,RE1,1,RE1,0.0413
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2044,1,RE1,1,RE1,0.0413
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2020,1,RE1,1,RE1,0.2708
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2021,1,RE1,1,RE1,0.2768
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2022,1,RE1,1,RE1,0.2829
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2023,1,RE1,1,RE1,0.289
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2024,1,RE1,1,RE1,0.2951
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2025,1,RE1,1,RE1,0.3012
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2026,1,RE1,1,RE1,0.3078
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2027,1,RE1,1,RE1,0.3144
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2028,1,RE1,1,RE1,0.3211
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2029,1,RE1,1,RE1,0.3277
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2030,1,RE1,1,RE1,0.3343
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2031,1,RE1,1,RE1,0.3418
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2032,1,RE1,1,RE1,0.3493
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2033,1,RE1,1,RE1,0.3568
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2034,1,RE1,1,RE1,0.3643
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2035,1,RE1,1,RE1,0.3718
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2036,1,RE1,1,RE1,0.3807
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2037,1,RE1,1,RE1,0.3897
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2038,1,RE1,1,RE1,0.3986
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2039,1,RE1,1,RE1,0.4075
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2040,1,RE1,1,RE1,0.4165
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2041,1,RE1,1,RE1,0.4269
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2042,1,RE1,1,RE1,0.4373
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2043,1,RE1,1,RE1,0.4477
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2044,1,RE1,1,RE1,0.4581
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2045,1,RE1,1,RE1,0.4685
