r_x,f,t,y,m,r_y,l,r,UseByTechnologyByMode
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2036,1,RE1,1,RE1,0.4483
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2037,1,RE1,1,RE1,0.4588
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2038,1,RE1,1,RE1,0.4694
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2039,1,RE1,1,RE1,0.4799
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2040,1,RE1,1,RE1,0.4904
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2041,1,RE1,1,RE1,0.3875
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2042,1,RE1,1,RE1,0.3573
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2043,1,RE1,1,RE1,0.3292
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2044,1,RE1,1,RE1,0.3031
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2045,1,RE1,1,RE1,0.279
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2046,1,RE1,1,RE1,0.2575
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2047,1,RE1,1,RE1,0.2374
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2048,1,RE1,1,RE1,0.2189
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2049,1,RE1,1,RE1,0.2016
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2050,1,RE1,1,RE1,0.6214
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2051,1,RE1,1,RE1,0.6367
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2052,1,RE1,1,RE1,0.6521
RE1,PHL_AGR_ELEF,PHL_AGR_UNIT,2053,1,RE1,1,RE1,0.6674
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2020,1,RE1,1,RE1,0.3042
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2021,1,RE1,1,RE1,0.311
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2022,1,RE1,1,RE1,0.3178
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2023,1,RE1,1,RE1,0.3247
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2024,1,RE1,1,RE1,0.3315
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2025,1,RE1,1,RE1,0.3384
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2026,1,RE1,1,RE1,0.3458
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2027,1,RE1,1,RE1,0.3532
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2028,1,RE1,1,RE1,0.3607
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2029,1,RE1,1,RE1,0.3681
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2030,1,RE1,1,RE1,0.3755
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2031,1,RE1,1,RE1,0.3839
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2032,1,RE1,1,RE1,0.3924
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2033,1,RE1,1,RE1,0.4008
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2034,1,RE1,1,RE1,0.4092
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2035,1,RE1,1,RE1,0.4177
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2036,1,RE1,1,RE1,0.4277
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2037,1,RE1,1,RE1,0.4377
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2038,1,RE1,1,RE1,0.4478
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2039,1,RE1,1,RE1,0.4578
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2040,1,RE1,1,RE1,0.4678
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2041,1,RE1,1,RE1,0.4282
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2042,1,RE1,1,RE1,0.3948
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2043,1,RE1,1,RE1,0.3638
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2044,1,RE1,1,RE1,0.335
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2045,1,RE1,1,RE1,0.3083
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2046,1,RE1,1,RE1,0.2845
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2047,1,RE1,1,RE1,0.2624
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2048,1,RE1,1,RE1,0.2418
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2049,1,RE1,1,RE1,0.2228
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2050,1,RE1,1,RE1,0.5928
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2051,1,RE1,1,RE1,0.6075
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2052,1,RE1,1,RE1,0.6221
RE1,PHL_AGR_HEAT,PHL_AGR_UNIT,2053,1,RE1,1,RE1,0.6367
RE1,PHL_WTR_GWT,PHL_DEM_PUB_GWT_WAT,2035,1,RE1,1,RE1,0.0576
RE1,PHL_WTR_SUR,PHL_DEM_PUB_SUR_WAT,2021,1,RE1,1,RE1,3.1547
RE1,PHL_WTR_SUR,PHL_DEM_PUB_SUR_WAT,2025,1,RE1,1,RE1,5.5723
RE1,PHL_WTR_SUR,PHL_DEM_PUB_SUR_WAT,2032,1,RE1,1,RE1,8.4986
RE1,PHL_WTR_SUR,PHL_DEM_PUB_SUR_WAT,2034,1,RE1,1,RE1,7.193
RE1,PHL_WTR_SUR,PHL_DEM_PUB_SUR_WAT,2044,1,RE1,1,RE1,24.9666
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2021,1,RE1,1,RE1,0.3692
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2022,1,RE1,1,RE1,0.2035
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2023,1,RE1,1,RE1,0.044
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2024,1,RE1,1,RE1,0.0595
